query_id,query,label_it,label_bus
b62e6645,We need one version of truth for company KPIs,data_warehouse,reporting_foundation
269019b4,"We need to detect fraudulent credit card transactions the moment they are submitted, before authorization is approved.",stream_processing,real_time_processing
7d085be7,Our trading platform must process market price updates and trigger buy/sell alerts within milliseconds.,stream_processing,real_time_processing
2c87904f,We want to monitor ATM activity across the country in real time and alert security if unusual patterns emerge.,stream_processing,real_time_processing
385194d4,Customer clicks on our website need to be analyzed instantly to personalize the homepage before it loads.,stream_processing,real_time_processing
46c56e0b,IoT sensors on factory machines send readings every second and we need to trigger maintenance alerts immediately.,stream_processing,real_time_processing
f3ca45eb,We receive thousands of payment events per second and need a live dashboard showing transaction volume.,stream_processing,real_time_processing
8dd239f4,Our logistics system needs to update delivery status the moment a parcel is scanned at any depot.,stream_processing,real_time_processing
1dd0d4e2,We want to send a push notification to a customer within seconds of their card being declined.,stream_processing,real_time_processing
78d88574,Live sports betting odds must update instantly based on game events as they happen.,stream_processing,real_time_processing
e44f2d7d,Patient vital signs from hospital monitors need to be streamed to doctors in real time.,stream_processing,real_time_processing
cea176c5,We need to aggregate social media mentions of our brand as they are posted and surface trending topics.,stream_processing,real_time_processing
e26ab5ca,Our ride-hailing app must match drivers to passengers in under two seconds.,stream_processing,real_time_processing
4f493b4d,Energy consumption meters send readings every minute and we want real-time anomaly detection.,stream_processing,real_time_processing
f31c2481,We need to capture every mouse movement and interaction on our trading UI for real-time compliance monitoring.,stream_processing,real_time_processing
16466049,Our call center needs a live feed of ongoing complaints to display on a manager dashboard.,stream_processing,real_time_processing
35546e5e,"Every night we extract customer records from our CRM, transform them, and load them into the data warehouse.",etl_pipeline,data_consolidation
f0b5706d,We need to consolidate sales data from 12 regional offices into one central report every Monday morning.,etl_pipeline,data_consolidation
cd57bc88,Our payroll system needs to pull employee hours from three different HR tools and calculate salaries each month.,etl_pipeline,data_consolidation
d1ba51e9,We receive flat files from partner banks every evening and need to load them into our reconciliation system.,etl_pipeline,data_consolidation
60fadf47,"Our regulatory reporting requires combining transaction data, customer data, and product data into a weekly submission file.",etl_pipeline,data_consolidation
d50eb909,We need to migrate five years of historical loan data from a legacy system into our new core banking platform.,etl_pipeline,data_consolidation
e9aee500,Product inventory levels from our warehouse system need to sync with our e-commerce platform every two hours.,etl_pipeline,data_consolidation
871c9f65,"We process insurance claims overnight by joining policy data, customer data, and claims submissions.",etl_pipeline,data_consolidation
6fbd8168,Our marketing team needs a weekly extract of customer purchase history to feed into campaign targeting tools.,etl_pipeline,data_consolidation
a8a91423,We need to aggregate all server logs from the past 24 hours and load summarized metrics into our monitoring database.,etl_pipeline,data_consolidation
c983a4ed,Student exam results from multiple schools need to be collected and standardized into a national database each term.,etl_pipeline,data_consolidation
6a32c414,We pull financial statements from all subsidiaries monthly and consolidate them for group reporting.,etl_pipeline,data_consolidation
635225e4,Our data science team needs a nightly refresh of features computed from raw transaction data.,etl_pipeline,data_consolidation
de9c8ab7,We receive XML files from government systems weekly and need to parse and load them into our database.,etl_pipeline,data_consolidation
80229723,Healthcare providers send us patient discharge summaries in CSV format daily for billing reconciliation.,etl_pipeline,data_consolidation
6d22e789,Our finance team needs a single source of truth for revenue figures that all departments agree on.,data_warehouse,reporting_foundation
d77c6442,"Executives need a unified dashboard showing KPIs across sales, operations, and customer service with consistent definitions.",data_warehouse,reporting_foundation
9d4f93ad,We want analysts to be able to run complex queries across five years of transaction history without slowing down production systems.,data_warehouse,reporting_foundation
2c7803e9,Our BI team needs a central repository where all business metrics are pre-calculated and ready for reporting.,data_warehouse,reporting_foundation
a3bc9a74,Different departments calculate customer lifetime value differently and we need one agreed definition stored centrally.,data_warehouse,reporting_foundation
7f3f9770,We need historical trend analysis across product lines going back ten years for strategic planning.,data_warehouse,reporting_foundation
70dc1f2a,"Our compliance team needs a structured store of all customer interactions queryable by date, channel, and product.",data_warehouse,reporting_foundation
63f97955,"Marketing needs to slice customer behaviour data by demographics, geography, and purchase category for campaign planning.",data_warehouse,reporting_foundation
323faae7,"We want self-service analytics so any business user can query clean, trusted data without asking IT.",data_warehouse,reporting_foundation
25ae4b4a,"Our board needs monthly financial reports that combine data from accounting, operations, and HR in one place.",data_warehouse,reporting_foundation
bf5d2b3c,We need a central store of student performance data so school administrators can compare results across years.,data_warehouse,reporting_foundation
9b34c2ae,"Our procurement team needs spend analytics across all suppliers, categories, and cost centres going back three years.",data_warehouse,reporting_foundation
7aaced92,We want to track claim settlement rates over time and compare them across insurance product lines.,data_warehouse,reporting_foundation
